Name    Radius    a    tau    ecc incl     day   tilt  
        *10^3   *10^6  e.yr        deg    e.hr    deg
Sun     695.5     0    0.10  0.00  0.0    25.1      0 
Mercury   2.4    57    0.24  0.21  7.0    58.6    2.1
Venus     6.0   108    0.62  0.01  3.4   243.0  177.3
Earth     6.4   150    1.00  0.02  1.5     1.0   23.5
Mars      3.4   227    1.88  0.09  1.9     1.0   25.2
Jupiter  71.5   778   11.86  0.05  1.3     0.5    3.1
Saturn   60.3  1433   29.66  0.06  2.5     0.4   26.7
Uranus   25.5  2877   84.32  0.06  0.8     0.7   97.7
Neptune  24.7  4504  164.79  0.01  1.8     0.67  28.3
Pluto     1.2  5913  248.09  0.25 17.2     6.3  119.5
